Oberkategorie;Fragenkomplex;Hauptthema;Unterthema
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;Rechte und Berechtigungen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;AGDLP (RBAC)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;LDAP
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Single Sign-On
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Zertifikate
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Zertifikatinfrastruktur
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Signatur zum Login
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Multi-Faktor-Authentifizierung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Hardwaretoken (z. B. Chipkarte)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;One-Time-Password
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;PIN-Code für Zutrittsberechtigung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;RADIUS (z. B. für WLAN)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Passwortrichtlinien
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;Securitykeys
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);04. Authentifizierungsmethoden inklusive der benötigten Infrastruktur beurteilen, einsetzen oder einrichten;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);05 Aktualisierungsmethoden auswählen, einsetzen und durchführen bzw. automatisieren;Updateverwaltung (z. B. WSUS, SCCM, APT, Repositories)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);05 Aktualisierungsmethoden auswählen, einsetzen und durchführen bzw. automatisieren;BIOS-Updates
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);05 Aktualisierungsmethoden auswählen, einsetzen und durchführen bzw. automatisieren;Firmware-Updates
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);05 Aktualisierungsmethoden auswählen, einsetzen und durchführen bzw. automatisieren;Hardware-Upgrade
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);05 Aktualisierungsmethoden auswählen, einsetzen und durchführen bzw. automatisieren;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Band, Platte, NAS, SAN, Cloud, USB, CD/DVD etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Veränderlich/unveränderlich
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Blockbasierter vs. dateibasierter Zugriff
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Backupstrategien (z. B. Generationsprinzip, schnell -> langsam, FIFO)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Lagerung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Aufbewahrungsfristen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Aufräumprozesse
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Versionierung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;Snapshots
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);06. Geeignete Methoden und Systeme zur Sicherung und Archivierung vorschlagen und implementieren;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);07. Backupdauer berechnen;Geschwindigkeit, Bandbreite
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);07. Backupdauer berechnen;Datenmenge, Speicherbedarf, Komprimierung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);07. Backupdauer berechnen;08. Restore Funktionalität sicherstellen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);07. Backupdauer berechnen;Blockbasiert, dateibasierter Zugriff
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);07. Backupdauer berechnen;Snapshots
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);07. Backupdauer berechnen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);09. Wiederherstellungsdauer berechnen;Geschwindigkeit, Bandbreite
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);09. Wiederherstellungsdauer berechnen;Datenmenge, Speicherbedarf
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;Monitoring-Werkzeuge auswählen und einsetzen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;Überwachung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;Fernsteuerung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;Fehlererkennung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;Fehlerbenachrichtigung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;Z. B. Load-Balancing, High Availability, Skalierbarkeit, Cloud-Systeme zur Last-Abfederung (Content Provider)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);10. Monitoring einrichten und durchführen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;Eskalationsmaßnahmen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;Incident Management
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;Fehlerbehebung/Troubleshooting
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;Bewertung von Fehlern
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;Eindringlings-/Angreiferüberwachung und Abwehr (z.B. IDS/IPS, HoneyPot)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;Härtungsmaßnahmen (z. B. Windows: SCCM, MDM, Virenscanner, Endpoint-Security)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);11. Ergebnisse des Monitorings bewerten und daraus Maßnahmen ableiten;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;Ticket-Systeme
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;1st/2nd/3rd-Level-Support
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;Tickets eskalieren
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;Schulungsmaßnahmen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;Nachschlagewerke und Standards (z. B. FAQs, Wiki, Knowledge DB, ITIL)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;Helpdesk
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;Abläufe standardisieren
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);12. Benutzeranfragen aufnehmen, analysieren und bearbeiten;etc.
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Inhalte des Ausbildungsvertrages (§ 10 f. BBiG):
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Vertragspartner
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Dauer der täglichen Arbeitszeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Probezeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Vergütungs- und Urlaubsregelungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Kündigungsbedingungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Folgen bei Nichteinhaltung der Rechte und Pflichten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Geltungsbereich
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Beendigung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Arbeitszeugnis
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);01. Rechte und Pflichten des Auszubildenden und des Ausbildenden;Prüfungen, Abschluss
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);02. Vorteile der Ausbildung im dualen System der Berufsbildung;Unterschiedliche Lernorte, auf regionaler Ebene
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);02. Vorteile der Ausbildung im dualen System der Berufsbildung;Zusammenwirken von Betrieb und Berufsschule
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);03. Aufgaben von Ausbildungsbetrieb, Berufsschule und Kammern im Rahmen der Berufsausbildung;Berufsbildungsgesetz, Ausbildungsordnung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);03. Aufgaben von Ausbildungsbetrieb, Berufsschule und Kammern im Rahmen der Berufsausbildung;Aufgaben der Berufsschule, Berufsschulpflicht
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);03. Aufgaben von Ausbildungsbetrieb, Berufsschule und Kammern im Rahmen der Berufsausbildung;Aufgaben der Kammern
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);04. Ausbildungsrahmenplan, sachliche und zeitliche Gliederung;Rahmenlehrplan
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);04. Ausbildungsrahmenplan, sachliche und zeitliche Gliederung;Betrieblicher Ausbildungsplan
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);04. Ausbildungsrahmenplan, sachliche und zeitliche Gliederung;Zuordnung der Lernziele des Ausbildungsrahmenplans zu den Inhalten des betrieblichen Ausbildungsplans unter Berücksichtigung betrieblicher Besonderheiten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);04. Ausbildungsrahmenplan, sachliche und zeitliche Gliederung;Einsatz- und Versetzungsplan im Betrieb
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);04. Ausbildungsrahmenplan, sachliche und zeitliche Gliederung;Rahmenplan für die berufsschulische Ausbildung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Kenntnis der Arbeitnehmerrechte und -pflichten im Betrieb sowie der wesentlichen Bestimmungen aus den relevanten Rechtsgebieten:
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Berufsbildungsgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Arbeitsschutzgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Bundeselterngeld- und Elternzeitgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Allgemeines Gleichbehandlungsgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Kündigungsschutzgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Jugendarbeitsschutzgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Arbeitsstättenverordnung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Arbeitszeitgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Betriebsverfassungsgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Betriebsvereinbarungen (z. B. betriebliche Arbeitszeitregelung, betriebliches Beurteilungsverfahren)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Sozialversicherung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Lohnsteuer
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Mutterschutzgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);05. Grundsätze des Individual- und Kollektivarbeitsrechtes;Schwerbehindertengesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);06. Arbeitgeberorganisationen;Arbeitgeberverbände
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);06. Arbeitgeberorganisationen;Industrie- und Handelskammern
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);06. Arbeitgeberorganisationen;Wirtschaftsverbände
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Gewerkschaften
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Betriebsräte
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Wahl und Zusammensetzung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Mitbestimmungs- und Mitwirkungsrechte
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Betriebsversammlung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Einigungsstelle
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);07. Arbeitnehmerorganisationen;Jugend- und Auszubildendenvertretung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);08. Tarifrecht;Tarifverträge (z. B. Entgelttarifvertrag, Manteltarifvertrag)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);08. Tarifrecht;Tarifautonomie, Tarifverhandlung, Tarifbindung, Tarifkonflikt (Arbeitskampf)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);08. Tarifrecht;Geltungsbereich
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);08. Tarifrecht;Laufzeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);09. Lohn- und Gehaltsformen;Brutto/Netto-Entgelt
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);09. Lohn- und Gehaltsformen;Lohnsteuer, Kirchensteuer
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);09. Lohn- und Gehaltsformen;Sozialabgaben: Krankenversicherung, Arbeitslosenversicherung, Rentenversicherung, Pflegeversicherung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);09. Lohn- und Gehaltsformen;Vermögenswirksame Leistungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);09. Lohn- und Gehaltsformen;Steuerklassen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);10. Lebensbegleitendes Lernen;Regelungen und Möglichkeiten für interne und externe Weiterbildung in Betrieb und Branche, evtl. tarifvertragliche Regelungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);10. Lebensbegleitendes Lernen;Berufliche Fortbildung und Umschulung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);10. Lebensbegleitendes Lernen;Innerbetriebliche Fortbildung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);10. Lebensbegleitendes Lernen;Staatliche Fördermaßnahmen
